State:,IDENTIFIER,CONSTANT,STRING_LITERAL,SIZEOF,PTR_OP,INC_OP,DEC_OP,LEFT_OP,RIGHT_OP,LE_OP,GE_OP,EQ_OP,NE_OP,AND_OP,OR_OP,MUL_ASSIGN,DIV_ASSIGN,MOD_ASSIGN,ADD_ASSIGN,SUB_ASSIGN,LEFT_ASSIGN,RIGHT_ASSIGN,AND_ASSIGN,XOR_ASSIGN,OR_ASSIGN,TYPE_NAME,TYPEDEF,EXTERN,STATIC,AUTO,REGISTER,INLINE,RESTRICT,CHAR,SHORT,INT,LONG,SIGNED,UNSIGNED,FLOAT,DOUBLE,CONST,VOLATILE,VOID,BOOL,COMPLEX,IMAGINARY,STRUCT,UNION,ENUM,ELLIPSIS,CASE,DEFAULT,IF,ELSE,SWITCH,WHILE,DO,FOR,GOTO,CONTINUE,BREAK,RETURN,primary_expression,(,expression,),postfix_expression,[,],argument_expression_list,.,type_name,{,initializer_list,},",",assignment_expression,unary_expression,unary_operator,cast_expression,&,*,+,-,~,!,multiplicative_expression,/,%,additive_expression,shift_expression,relational_expression,<,>,equality_expression,and_expression,exclusive_or_expression,^,inclusive_or_expression,|,logical_and_expression,logical_or_expression,conditional_expression,?,:,assignment_operator,=,constant_expression,declaration,declaration_specifiers,;,init_declarator_list,storage_class_specifier,type_specifier,type_qualifier,function_specifier,init_declarator,declarator,initializer,struct_or_union_specifier,enum_specifier,struct_or_union,struct_declaration_list,struct_declaration,specifier_qualifier_list,struct_declarator_list,struct_declarator,enumerator_list,enumerator,pointer,direct_declarator,type_qualifier_list,parameter_type_list,identifier_list,parameter_list,parameter_declaration,abstract_declarator,direct_abstract_declarator,designation,designator_list,designator,statement,labeled_statement,compound_statement,expression_statement,selection_statement,iteration_statement,jump_statement,block_item_list,block_item,translation_unit,external_declaration,function_definition,declaration_list,S',$r
170, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r122, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r122, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
171,r128, , , , , , , , , , , , , , , , , , , , , , , , ,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128,r128, , , , , , , , , , , , , , ,r128, ,r128, ,r128, , , , , , , ,r128, , , , , ,r128, , , , , , , , , , , , , , , , , , , , , , ,r128, , , , , ,r128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
172,S57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,S270, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,177, , , , , , , , , , , , , , , , , , , , , , , , , , , 
173, , , , , , , ,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r28, , ,r28, , , , , ,r28,r28, , , , ,r28,r28,r28,r28, , , ,r28,r28, , , ,r28,r28, , , ,r28, ,r28, , , ,r28,r28, ,r28, , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r75, , , , , ,r75,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r75, , , , , ,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r135,r135, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
176,r129, , , , , , , , , , , , , , , , , , , , , , , , ,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129,r129, , , , , , , , , , , , , , ,r129, ,r129, ,r129, , , , , , , ,r129, , , , , ,r129, , , , , , , , , , , , , , , , , , , , , , ,r129, , , , , ,r129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r133,r133, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
178,S90,S91,S92,S93, ,S94,S95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,S96,S97,S98, ,S99,S100,S101,S102,S103,S104,S105,S106,107,S108,109, ,110, , , , , ,S66, , , ,112,113,114,115,S116,S117,S118,S119,S120,S121,122, , ,123,124,125, , ,126,127,128, ,129, ,130,131,132, , , , , , , ,S134, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,271,136,137,138,139,140,141, , , , , , , , 
179,S144,S91,S92,S93, ,S94,S95, , , , , , , , , , , , , , , , , , ,S1, , , , , , ,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25, , , , , , , , , , , , , ,107,S108,196, ,110, , , , ,272, , , , ,112,113,114,115,S116,S117,S118,S119,S120,S121,122, , ,123,124,125, , ,126,127,128, ,129, ,130,131,132, , , , , , , , , , ,76,77, , , , ,32,33,34, , ,198, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
180, , , , , , , ,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r20, , ,r20, , , , , ,r20,r20, , , , ,r20,r20,r20,r20, , , ,r20,r20, , , ,r20,r20, , , ,r20, ,r20, , , ,r20,r20, ,r20, , , ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
181,S144,S91,S92,S93, ,S94,S95, , , , , , , , , , , , , , , , , , ,S1, , , , , , ,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25, , , , , , , , , , , , , ,107,S108,196, ,110, , , , ,273, , , , ,112,113,114,115,S116,S117,S118,S119,S120,S121,122, , ,123,124,125, , ,126,127,128, ,129, ,130,131,132, , , , , , , , , , ,76,77, , , , ,32,33,34, , ,198, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
